date,sales
01-01-2023,192
02-01-2023,198
03-01-2023,226
04-01-2023,243
05-01-2023,206
06-01-2023,189
07-01-2023,206
08-01-2023,198
09-01-2023,195
10-01-2023,226
11-01-2023,215
12-01-2023,205
13-01-2023,198
14-01-2023,155
15-01-2023,162
16-01-2023,196
17-01-2023,205
18-01-2023,229
19-01-2023,200
20-01-2023,175
21-01-2023,208
22-01-2023,187
23-01-2023,207
24-01-2023,201
25-01-2023,218
26-01-2023,217
27-01-2023,181
28-01-2023,194
29-01-2023,183
30-01-2023,204
31-01-2023,215
01-02-2023,256
02-02-2023,217
03-02-2023,185
04-02-2023,202
05-02-2023,176
06-02-2023,213
07-02-2023,196
08-02-2023,210
09-02-2023,222
10-02-2023,213
11-02-2023,194
12-02-2023,194
13-02-2023,207
14-02-2023,206
15-02-2023,221
16-02-2023,214
17-02-2023,220
18-02-2023,199
19-02-2023,171
20-02-2023,219
21-02-2023,224
22-02-2023,224
23-02-2023,232
24-02-2023,222
25-02-2023,210
26-02-2023,187
27-02-2023,211
28-02-2023,237
01-03-2023,250
02-03-2023,218
03-03-2023,205
04-03-2023,281
05-03-2023,184
06-03-2023,230
07-03-2023,254
08-03-2023,237
09-03-2023,242
10-03-2023,215
11-03-2023,190
12-03-2023,209
13-03-2023,243
14-03-2023,235
15-03-2023,263
16-03-2023,190
17-03-2023,324
18-03-2023,203
19-03-2023,201
20-03-2023,223
21-03-2023,207
22-03-2023,238
23-03-2023,236
24-03-2023,236
25-03-2023,195
26-03-2023,195
27-03-2023,216
28-03-2023,253
29-03-2023,348
30-03-2023,225
31-03-2023,223
01-04-2023,207
02-04-2023,224
03-04-2023,215
04-04-2023,236
05-04-2023,239
06-04-2023,213
07-04-2023,222
08-04-2023,211
09-04-2023,211
10-04-2023,224
11-04-2023,222
12-04-2023,241
13-04-2023,232
14-04-2023,208
15-04-2023,207
16-04-2023,219
17-04-2023,257
18-04-2023,248
19-04-2023,253
20-04-2023,237
21-04-2023,193
22-04-2023,211
23-04-2023,216
24-04-2023,268
25-04-2023,244
26-04-2023,256
27-04-2023,240
28-04-2023,206
29-04-2023,330
30-04-2023,228
01-05-2023,245
02-05-2023,235
03-05-2023,274
04-05-2023,221
05-05-2023,234
06-05-2023,348
07-05-2023,204
08-05-2023,226
09-05-2023,252
10-05-2023,247
11-05-2023,221
12-05-2023,228
13-05-2023,201
14-05-2023,228
15-05-2023,223
16-05-2023,276
17-05-2023,245
18-05-2023,241
19-05-2023,341
20-05-2023,200
21-05-2023,226
22-05-2023,258
23-05-2023,230
24-05-2023,261
25-05-2023,252
26-05-2023,243
27-05-2023,202
28-05-2023,205
29-05-2023,248
30-05-2023,261
31-05-2023,264
01-06-2023,255
02-06-2023,323
03-06-2023,226
04-06-2023,231
05-06-2023,232
06-06-2023,286
07-06-2023,270
08-06-2023,234
09-06-2023,245
10-06-2023,210
11-06-2023,240
12-06-2023,262
13-06-2023,248
14-06-2023,279
15-06-2023,360
16-06-2023,249
17-06-2023,255
18-06-2023,327
19-06-2023,235
20-06-2023,249
21-06-2023,254
22-06-2023,255
23-06-2023,244
24-06-2023,232
25-06-2023,245
26-06-2023,248
27-06-2023,286
28-06-2023,264
29-06-2023,299
30-06-2023,250
01-07-2023,217
02-07-2023,218
03-07-2023,257
04-07-2023,263
05-07-2023,381
06-07-2023,267
07-07-2023,242
08-07-2023,219
09-07-2023,213
10-07-2023,245
11-07-2023,281
12-07-2023,275
13-07-2023,243
14-07-2023,247
15-07-2023,240
16-07-2023,225
17-07-2023,256
18-07-2023,271
19-07-2023,257
20-07-2023,269
21-07-2023,255
22-07-2023,252
23-07-2023,256
24-07-2023,235
25-07-2023,258
26-07-2023,284
27-07-2023,273
28-07-2023,256
29-07-2023,296
30-07-2023,251
31-07-2023,275
01-08-2023,288
02-08-2023,288
03-08-2023,263
04-08-2023,262
05-08-2023,228
06-08-2023,240
07-08-2023,253
08-08-2023,277
09-08-2023,315
10-08-2023,241
11-08-2023,263
12-08-2023,217
13-08-2023,239
14-08-2023,278
15-08-2023,279
16-08-2023,266
17-08-2023,260
18-08-2023,264
19-08-2023,233
20-08-2023,251
21-08-2023,264
22-08-2023,270
23-08-2023,316
24-08-2023,383
25-08-2023,226
26-08-2023,248
27-08-2023,240
28-08-2023,278
29-08-2023,270
30-08-2023,284
31-08-2023,283
01-09-2023,271
02-09-2023,329
03-09-2023,247
04-09-2023,260
05-09-2023,274
06-09-2023,314
07-09-2023,283
08-09-2023,241
09-09-2023,263
10-09-2023,285
11-09-2023,285
12-09-2023,263
13-09-2023,282
14-09-2023,298
15-09-2023,251
16-09-2023,258
17-09-2023,267
18-09-2023,357
19-09-2023,386
20-09-2023,243
21-09-2023,265
22-09-2023,260
23-09-2023,234
24-09-2023,282
25-09-2023,252
26-09-2023,283
27-09-2023,295
28-09-2023,304
29-09-2023,244
30-09-2023,273
01-10-2023,359
02-10-2023,260
03-10-2023,298
04-10-2023,298
05-10-2023,276
06-10-2023,269
07-10-2023,251
08-10-2023,263
09-10-2023,287
10-10-2023,317
11-10-2023,279
12-10-2023,419
13-10-2023,240
14-10-2023,257
15-10-2023,272
16-10-2023,283
17-10-2023,286
18-10-2023,296
19-10-2023,281
20-10-2023,363
21-10-2023,274
22-10-2023,270
23-10-2023,271
24-10-2023,310
25-10-2023,306
26-10-2023,303
27-10-2023,283
28-10-2023,250
29-10-2023,259
30-10-2023,394
31-10-2023,308
01-11-2023,303
02-11-2023,294
03-11-2023,294
04-11-2023,256
05-11-2023,277
06-11-2023,282
07-11-2023,297
08-11-2023,321
09-11-2023,307
10-11-2023,289
11-11-2023,286
12-11-2023,271
13-11-2023,297
14-11-2023,298
15-11-2023,312
16-11-2023,294
17-11-2023,281
18-11-2023,277
19-11-2023,260
20-11-2023,320
21-11-2023,289
22-11-2023,290
23-11-2023,315
24-11-2023,293
25-11-2023,280
26-11-2023,284
27-11-2023,290
28-11-2023,293
29-11-2023,312
30-11-2023,290
01-12-2023,298
02-12-2023,270
03-12-2023,264
04-12-2023,288
05-12-2023,315
06-12-2023,304
07-12-2023,290
08-12-2023,389
09-12-2023,278
10-12-2023,271
11-12-2023,287
12-12-2023,314
13-12-2023,293
14-12-2023,283
15-12-2023,276
16-12-2023,273
17-12-2023,285
18-12-2023,318
19-12-2023,325
20-12-2023,314
21-12-2023,306
22-12-2023,274
23-12-2023,278
24-12-2023,278
25-12-2023,303
26-12-2023,302
27-12-2023,326
28-12-2023,331
29-12-2023,289
30-12-2023,286
31-12-2023,295
01-01-2024,294
02-01-2024,319
03-01-2024,320
04-01-2024,311
05-01-2024,281
06-01-2024,282
07-01-2024,294
08-01-2024,324
09-01-2024,332
10-01-2024,354
11-01-2024,300
12-01-2024,308
13-01-2024,287
14-01-2024,321
15-01-2024,292
16-01-2024,307
17-01-2024,315
18-01-2024,282
19-01-2024,289
20-01-2024,274
21-01-2024,292
22-01-2024,311
23-01-2024,350
24-01-2024,440
25-01-2024,307
26-01-2024,285
27-01-2024,295
28-01-2024,272
29-01-2024,335
30-01-2024,341
31-01-2024,321
01-02-2024,292
02-02-2024,421
03-02-2024,388
04-02-2024,312
05-02-2024,286
06-02-2024,317
07-02-2024,330
08-02-2024,320
09-02-2024,295
10-02-2024,301
11-02-2024,280
12-02-2024,310
13-02-2024,329
14-02-2024,339
15-02-2024,332
16-02-2024,287
17-02-2024,371
18-02-2024,317
19-02-2024,319
20-02-2024,318
21-02-2024,357
22-02-2024,325
23-02-2024,324
24-02-2024,296
25-02-2024,331
26-02-2024,342
27-02-2024,328
28-02-2024,350
29-02-2024,335
01-03-2024,328
02-03-2024,283
03-03-2024,312
04-03-2024,333
05-03-2024,307
06-03-2024,320
07-03-2024,296
08-03-2024,306
09-03-2024,310
10-03-2024,426
11-03-2024,320
12-03-2024,360
13-03-2024,319
14-03-2024,303
15-03-2024,311
16-03-2024,307
17-03-2024,305
18-03-2024,290
19-03-2024,336
20-03-2024,322
21-03-2024,341
22-03-2024,419
23-03-2024,289
24-03-2024,300
25-03-2024,307
26-03-2024,338
27-03-2024,358
28-03-2024,418
29-03-2024,323
30-03-2024,297
31-03-2024,297
01-04-2024,323
02-04-2024,325
03-04-2024,337
04-04-2024,317
05-04-2024,347
06-04-2024,308
07-04-2024,301
08-04-2024,330
09-04-2024,341
10-04-2024,344
11-04-2024,346
12-04-2024,331
13-04-2024,301
14-04-2024,304
15-04-2024,325
16-04-2024,310
17-04-2024,326
18-04-2024,359
19-04-2024,346
20-04-2024,307
21-04-2024,324
22-04-2024,336
23-04-2024,393
24-04-2024,368
25-04-2024,338
26-04-2024,309
27-04-2024,289
28-04-2024,320
29-04-2024,321
30-04-2024,327
01-05-2024,343
02-05-2024,326
03-05-2024,451
04-05-2024,428
05-05-2024,319
06-05-2024,457
07-05-2024,352
08-05-2024,342
09-05-2024,367
10-05-2024,335
11-05-2024,301
12-05-2024,318
13-05-2024,323
14-05-2024,332
15-05-2024,371
16-05-2024,375
17-05-2024,308
18-05-2024,327
19-05-2024,413
20-05-2024,331
21-05-2024,346
22-05-2024,346
23-05-2024,349
24-05-2024,319
25-05-2024,324
